Page3	Event
알록달록 색이 다른 불꽃!	0
이번 실험은 불꽃에 다양한 금속원소를 넣어서 불꽃의 색을 바꾸는 실험을 해볼 거에요.	0
불꽃 반응이란 금속 원소를 불꽃에 넣었을 때 불꽃의 원소에 따라 변하는 현상이에요.	0
그건 물질의 전자들이 열을 받아 빛에너지를 방출하게 되는데, 물질마다 빛의 파장이 다르기 때문에 각각 다른 색이 나오게 된답니다!	0
그러면 직접 실험을 해볼까요? 알코올 램프의 불꽃에 금속 원소 토큰을 가져다 대보도록 해요!	0
금속 토큰을 찾아 책 위에 하나씩 올려보세요!	-1
Q1.노란색 불꽃이 나오는 금속 원소는 무엇일까요?	2
Q2.주황색 불꽃이 나오는 금속 원소는 무엇일까요?	2
이것으로 실험을 종료하겠습니다!	4
나트륨은 노란색 불꽃이 나오네요.	1 
리튬은 빨간색 불꽃이 나오네요.	1 
칼륨은 보라색 불꽃이 나오네요.	1
구리는 청록색 불꽃이 나오네요.	1
바륨은 황록색 불꽃이 나오네요.	1
칼슘은 주황색 불꽃이 나오네요.	1
스트론튬은 진한 빨간색 불꽃이 나오네요.	1
